Title: 结构部件，支撑部件或附件

Code: E06C7/00

========================================

E06C7/02 延伸装置（设在底架或车辆上的梯子用的入E06C5/00）

E06C7/04 装在梯子上的手动延伸装置

E06C7/06 可延伸梯子部件的固定器件或钩子

E06C7/08 纵向构件或梯级或其他踏板的特殊构造

E06C7/10 梯子的加强件

E06C7/12 梯子上的提升器或其他提升器件

E06C7/14 梯子上或梯子用桶或其他设备的托架

E06C7/16 带在或用于梯子上的平台，例如，可升降的平台（提升机入B66F）

E06C7/18 防止人员跌下的器件（安全带入A62B1/16）

E06C7/42 梯脚；其支撑构件（用于脚手架构件的入E04G5/02）

E06C7/44 在不平的地面上架设梯子的措施

E06C7/46 防止滑动的设备

E06C7/48 梯子端头；用于靠在物体上的梯子支承端

E06C7/50 接头或其他连接件

