Title: 制动构件，即产生制动作用的那些部件的布置

Code: B60T1/00

========================================

B60T1/02 通过车轮减速作用的

B60T1/04 直接在胎面上作用的

B60T1/06 不是在胎面上作用的，例如使用轮辋、鼓、盘或传动装置的

B60T1/08 使用流体或粉末状介质的

B60T1/087 在液力，即非容积式减速器内

B60T1/093 在静液力，即容积式减速器内

B60T1/10 利用车轮运动储存能量，例如驱动空气压缩机

B60T1/12 不是通过车轮减速作用的，例如喷射作用

B60T1/14 直接在道路上（轻便装置，例如楔子入B60T3/00）

B60T1/16 通过增大空气阻力，例如阻力板

