Title: 废料的回收或加工（塑料的回收入B29B17/00；与废料聚合物或它的解聚产物的提纯或再 循环有关的聚合工艺入C08B、C08C、C08F、C08G、C08H）

Code: C08J11/00

========================================

C08J11/02 溶剂、增塑剂或未反应的单体的

C08J11/04 聚合物的

C08J11/06 无化学反应

C08J11/08 使用为聚合物组分所选择的溶剂

C08J11/10 由聚合物分子链的化学断裂或交联断裂，例如脱硫作用（解聚至原来的单体入C07）

C08J11/12 只用干热处理

C08J11/14 用蒸气或水处理

C08J11/16 用无机物料处理（C08J11/14优先）

C08J11/18 用有机物料处理

C08J11/20 用烃或卤化烃处理

C08J11/22 用有机含氧化合物处理

C08J11/24 含羟基

C08J11/26 含羧酸基、它们的酐或酯

C08J11/28 用含氮、硫或磷的有机化合物处理

