Title: 高分子物质的处理或配料的工艺过程

Code: C08J3/00

========================================

C08J3/02 用溶液、乳液或悬浮聚合技术以外的方法制成的溶液、分散液或胶乳

C08J3/03 在含水介质中

C08J3/05 由固体聚合物

C08J3/07 由聚合物溶液

C08J3/075 高分子凝胶

C08J3/09 在有机液体中

C08J3/11 由固体聚合物

C08J3/12 粉化或粒化

C08J3/14 从溶液沉淀

C08J3/16 由分散液凝结

C08J3/18 高分子化合物的增塑（增塑剂入C08K）

C08J3/20 聚合物与添加剂配料，如着色

C08J3/205 有液相存在

C08J3/21 聚合物与液相预混合

C08J3/215 至少一种添加剂也与液相预混合

C08J3/22 使用母炼技术

C08J3/24 高分子的交联，如硫化（机械部分入B29C35/00；交联剂入C08K）

C08J3/26 胶乳的

C08J3/28 用波能或粒子辐射处理

