Title: 硫酸钙水泥

Code: C04B11/00

========================================

C04B11/02 石膏的脱水

C04B11/024 在煅烧过程之前或煅烧期间加入的成分，例如煅烧改性剂

C04B11/028 煅烧设备

C04B11/032 用于湿法的，例如在溶液中或在饱和蒸气条件下脱水的

C04B11/036 用于干法的，例如在流化床中或在回转窑中脱水的

C04B11/05 制取硬石膏（C04B11/028优先）

C04B11/06 用硬石膏作原料

C04B11/26 用含磷石膏或废物，例如烟的提纯产物作原料（C04B11/02优先）

C04B11/28 与其他无机黏结材料的混合物（C04B7/04、C04B7/153优先）

C04B11/30 与水硬性水泥，例如硅酸盐水泥

