Title: 只含有机黏结剂的砂浆、混凝土或人造石的组合物

Code: C04B26/00

========================================

C04B26/02 高分子化合物

C04B26/04 仅由碳-碳不饱和键反应得到的

C04B26/06 丙烯酸盐

C04B26/08 含卤素的

C04B26/10 不仅由碳-碳不饱和键反应得到的

C04B26/12 醛或酮的缩聚物

C04B26/14 聚环氧化合物

C04B26/16 聚氨基甲酸酯

C04B26/18 聚酯；聚碳酸酯

C04B26/20 聚酰胺

C04B26/22 天然树脂，例如松香

C04B26/24 纤维素废液，例如亚硫酸碱液

C04B26/26 沥青材料，例如焦油、沥青

C04B26/28 多糖或其衍生物

C04B26/30 具有1个或多个碳-金属键或碳-硅键的化合物

C04B26/32 含硅的

