Title: 活塞

Code: F02F3/00

========================================

F02F3/02 具有调节或控制热膨胀的装置

F02F3/04 具有膨胀控制涨圈

F02F3/06 具有双金属效应的涨圈

F02F3/08 涨圈是环形的

F02F3/10 具有表面覆盖物（F02F3/02优先）

F02F3/12 在活塞顶上

F02F3/14 在燃烧室内

F02F3/16 具有冷却装置

F02F3/18 该装置是在活塞内的一个密封室中使用液体或固体冷却剂的，如钠

F02F3/20 该装置是流体通过或沿着活塞流动

F02F3/22 流体是液体

F02F3/24 在汽缸内具有气体导向装置，例如在二冲程发动机中用于导向扫气进气

F02F3/26 在活塞盖顶具有燃烧室（其表面有覆盖物的入F02F3/14）

F02F3/28 带有特殊形状的盖的其他活塞

