Title: 加防护的小室或房间

Code: G21F7/00

========================================

G21F7/005 通过墙壁的防护通道；锁；房间之间的转接器件（手套箱之间的入G21F7/047）

G21F7/01 通过流体装置转接

G21F7/015 房间的大气、温度或压力控制器件

G21F7/02 允许目视但对观察者有防护的观察器具

G21F7/03 窗，例如防护窗

G21F7/04 防护手套箱

G21F7/047 防护通道；手套箱之间封闭或转接装置

G21F7/053 安装手套装置

G21F7/06 与遥控器械结构结合的，如和机械手结合的

