Title: 可运输的或轻便的防护容器

Code: G21F5/00

========================================

G21F5/002 用于流体放射性废物的容器

G21F5/005 用于固体放射性废物的容器，例如极端处置

G21F5/008 用于燃料元件的容器

G21F5/012 容器中的燃料元件架

G21F5/015 用于存储放射性源，例如用于照射单元的源载体；放射性同位素容器

G21F5/018 注射器的防护或容器（用于把放射性物质用到人体的注射器的防护入A61M36/08）

G21F5/02 具有使辐射源在容器中作受限制照射的设备

G21F5/04 控制照射的装置，如时间、孔径尺寸（对X射线照射的控制入H05G1/30）

G21F5/06 容器零件或容器附件

G21F5/08 震动吸收体，例如用于容器的碰撞缓冲器

G21F5/10 热排除系统，例如使用循环流体或冷却风扇

G21F5/12 用于容器的封闭；密封装置

G21F5/14 用于装卸容器或运输容器的器械，例如运输器械

