Title: 可见的信号系统，例如可见的个人呼叫系统或坐位占有状态的远程指示

Code: G08B5/00

========================================

G08B5/02 只用机械传送的

G08B5/06 用液压传送的；用气动传送的

G08B5/14 有绕轴转动的指示器部件的，例如铰接片或旋转叶片

G08B5/16 有需要单独操作回原指示器部件的复位装置的

G08B5/18 有直线移动的指示器部件的

G08B5/20 有需要单独操作回原指示器部件的复位装置的

G08B5/22 用电传送的；用电磁传送的

G08B5/24 有绕轴转动的指示器部件的，例如铰接片或旋转叶片

G08B5/26 有需要单独操作回原指示器部件的复位装置的

G08B5/28 有铰接片或臂杆的

G08B5/30 有转动件或振动件的，例如叶片

G08B5/32 有直线移动的指示器部件的

G08B5/34 有需要单独操作回原指示器部件的复位装置的

G08B5/36 用可见光源的

G08B5/38 用闪光灯的

G08B5/40 用烟、火或颜色气体的

