Title: 未列入其他类目的响应一种指定的意外或异常情况的报警器

Code: G08B21/00

========================================

G08B21/02 保证人身安全的报警器

G08B21/04 响应无活动能力的报警器，例如老年人的（G08B21/06优先）

G08B21/06 指示睡眠状态，例如防打盹的报警器

G08B21/08 响应人出现在水域中的报警器，例如游泳池；响应水域的异常情况的报警器

G08B21/10 响应灾难事件的报警器，例如龙卷风或地震

G08B21/12 响应不受欢迎的物质散发的报警器，例如污染报警器

G08B21/14 毒气报警器（G08B21/16优先）

G08B21/16 可燃气体报警器

G08B21/18 状态报警器（G08B21/02优先）

G08B21/20 响应湿度的报警器

G08B21/22 响应人的出现或不出现的报警器

G08B21/24 提醒报警器，例如防丢失报警器

