Title: 两个或两个以上用户站由同一线路连接到交换机的选择装置

Code: H04Q5/00

========================================

H04Q5/02 为所有用户直接连接的，即同线电话系统（H04Q5/24优先）

H04Q5/04 由一条线路或另一条线路或两条线路或辅助线路中的电流发信号

H04Q5/06 用直流电的幅度或极性发信号

H04Q5/08 用连续交流电发信号

H04Q5/10 对于不同用户使用单一频率

H04Q5/12 使用频率组合

H04Q5/14 由脉冲发信号

H04Q5/16 用预定的脉冲数

H04Q5/18 间接连接，即通过附属交换中心

H04Q5/20 附属交换中心能把连接到该中心的用户互相连接

H04Q5/22 附属交换中心不能把连接到该中心的用户互相连接

H04Q5/24 用于对讲电话系统

