Title: 麦芽汁的制备（麦芽提取物入C12C1/18）

Code: C12C7/00

========================================

C12C7/01 麦芽的预处理，例如麦芽研磨

C12C7/04 糖化醪的制备或处理

C12C7/047 部分糖化醪为未发芽的谷类

C12C7/053 部分糖化醪为非谷类原料

C12C7/06 制备糖化醪的设备

C12C7/14 过滤,即澄清麦芽汁

C12C7/16 粗滤

C12C7/165 使用糖化醪过滤器

C12C7/17 使用过滤槽

C12C7/175 通过离心

C12C7/20 啤酒麦芽汁的煮沸（酿造锅入C12C13/02）

C12C7/22 专门适用于节省或回收能量的方法或设备

C12C7/24 酒花煮沸和冷却之间啤酒麦芽汁的澄清

C12C7/26 冷却啤酒麦芽汁；在冷却期间或冷却后澄清啤酒麦芽汁

C12C7/28 后处理

