Title: 麦芽的制备

Code: C12C1/00

========================================

C12C1/02 谷粒的预处理，例如清洗、浸泡

C12C1/027 发芽

C12C1/033 在箱或鼓中

C12C1/047 用化学或物理方法影响发芽

C12C1/053 采用照射或电处理

C12C1/067 干燥

C12C1/073 特别用于节省或回收能量的方法或设备

C12C1/10 在固定支架上干燥

C12C1/12 在活动支架上干燥

C12C1/125 浸泡、发芽或干燥的连续或半连续方法

C12C1/13 将谷粒垂直输送

C12C1/135 将谷粒水平输送

C12C1/15 谷粒或麦芽的翻动、装填或卸料设备

C12C1/16 麦芽的后处理，例如麦芽的净化、胚芽的分离

C12C1/18 麦芽提取物或特种麦芽，如焦糖麦芽、黑麦芽的制备（用作食品的麦芽产品入A23L）

