Title: 移动式炉箅

Code: F23H11/00

========================================

F23H11/02 带有布置在横向托架上的炉条

F23H11/04 带有一侧装有枢轴的炉条

F23H11/06 带有可彼此相对运动的炉条

F23H11/08 带有若干可单独运动的炉箅面

F23H11/10 带有从下面送风和控制送风的专门装置

F23H11/12 倾斜移动式炉箅；跨步移动式炉箅

F23H11/14 起辅助炉箅作用的

F23H11/16 用于多层装料的

F23H11/18 零部件

F23H11/20 驱动装置

F23H11/22 沿炉箅移动燃料的；清理炉箅的

F23H11/24 除灰的；除炉渣的

F23H11/26 用倾卸法

F23H11/28 可更换燃烧表面的

