Title: 仅有O，N，S，Se或Te作为杂环原子的杂环碳化合物的制备（C12P13/04至C12P13/24优 先）

Code: C12P17/00

========================================

C12P17/02 氧是惟一的杂环原子

C12P17/04 含1个五元杂环，如灰黄霉素

C12P17/06 含1个六元杂环，如荧光素

C12P17/08 含有至少7个原子的杂环，如玉米赤霉烯酮、大环内酯糖苷配基

C12P17/10 氮是惟一的杂环原子

C12P17/12 含1个六元杂环

C12P17/14 氮或氧作为杂原子，并且在相同的环上至少有另1个不同的杂环原子

C12P17/16 含有两个或更多的杂环

C12P17/18 至少含有两个在它们本身之间稠合或与一共同的碳环系稠合的杂环，如利福霉素

