Title: 受控车辆的特定环境

Code: G05D107/00

========================================

G05D107/10 室外管制空间

G05D107/13 为车辆通行预留的空间，例如道路、受管制空域或受管制水域

G05D107/17 人类优先的空间，例如居住区、人行通道、公园或海滩

G05D107/20 土地利用

G05D107/30 越野

G05D107/40 室内家庭环境

G05D107/50 有限的空间，例如罐、管道、隧道或容器

G05D107/60 开放式建筑，例如办公室、医院、购物区或大学

G05D107/70 工业场所，例如仓库或工厂

G05D107/80 交通枢纽

G05D107/90 建筑工地；土木工程

