Title: 绣花机中导引、喂送、整理和处理丝线的机构；机针；对这些机构的操作或控制

Code: D05C11/00

========================================

D05C11/02 机针

D05C11/04 固定或插入针杆或针架的装置

D05C11/06 针的传动或控制机构

D05C11/08 丝线的张力装置

D05C11/10 导线器，如弹性的

D05C11/12 轴辊

D05C11/14 丝线过紧或断头时的自停装置

D05C11/16 重复花型或换线的装置

D05C11/18 梭心

D05C11/20 切断上线或下线的装置

D05C11/22 割除断线的装置

D05C11/24 涂染或浸润丝线的相关机构

