Title: 握持或将底布送绣花机的设备

Code: D05C9/00

========================================

D05C9/02 直立针绣花机

D05C9/04 衣片握持器，例如，工作架

D05C9/06 送布机构，如按花型改变的，按缩图器操作的

D05C9/08 卧式针绣花机

D05C9/10 工作架

D05C9/12 底布在绣花工作架中固定或延展的机构

D05C9/14 悬吊或平衡机构

D05C9/16 送布机构

D05C9/18 在绣花针控制的两个方向中，底布在一个方向上的运动

D05C9/20 由压脚控制的底布运动；传动机构

D05C9/22 底布的调节或校正机构，如根据针调节

