Title: 蘑菇的栽培

Code: A01G18/00

========================================

A01G18/10 菌根;菌根组合

A01G18/20 培养基,例如培养料

A01G18/22 配培养基的装置,例如装瓶装置

A01G18/30 菌丝接种前使用的辅助设备,例如消毒装置

A01G18/40 菌丝的培养

A01G18/50 菌丝的接种

A01G18/55 ·接种孔的形成

A01G18/60 栽培房;其栽培装置

A01G18/61 用于子实体的生长导向装置,例如纸卷

A01G18/62 栽培架或托盘

A01G18/64 栽培容器;其盖

A01G18/65 特征在于盖,例如带过滤器的盖

A01G18/66 栽培袋

A01G18/68 栽培瓶

A01G18/69 用于环境处理的装置,例如洒水器

A01G18/70 收获

A01G18/80 收获后使用的辅助设备,例如刮刀

