Title: 淀粉、降解或非化学改性淀粉、直链淀粉或支链淀粉的制备

Code: C08B30/00

========================================

C08B30/02 预处理，例如原料的粉碎

C08B30/04 萃取或精制

C08B30/06 干燥；成形

C08B30/08 淀粉悬浮体的浓缩

C08B30/10 淀粉萃取后残留物的加工，包括从淀粉萃取物中压出水

C08B30/12 降解或非化学改性的淀粉、淀粉的漂白（淀粉化学衍生物的制备入C08B31/00）

C08B30/14 冷水分散的或预胶凝的淀粉

C08B30/16 所用的设备

C08B30/18 糊精

C08B30/20 直链淀粉或支链淀粉（它们的化学衍生物入C08B33/00，C08B35/00）

