Title: 纤维素醚的制备

Code: C08B11/00

========================================

C08B11/02 烷基或环烷基醚

C08B11/04 有取代的烃基

C08B11/06 有卤素取代的烃基

C08B11/08 有羟基化的烃基；它的酯、醚或缩醛

C08B11/10 以酸基取代

C08B11/12 羧基取代

C08B11/14 有含氮基团

C08B11/145 有碱性氮，例如氨烷基醚

C08B11/15 有氨基甲酰基

C08B11/155 有氰基，例如氰烷基醚

C08B11/16 芳基或芳烷基醚

C08B11/18 有取代的烃基

C08B11/187 有不饱和烯烃基

C08B11/193 混合醚，即具有两个或更多不同的醚化基团的醚

C08B11/20 醚化后处理，包括精制

C08B11/22 分离

