Title: 与空气特性相关的控制输入

Code: F24F110/00

========================================

F24F110/10 温度

F24F110/12 室外空气的

F24F110/20 湿度

F24F110/22 室外空气的

F24F110/30 速度

F24F110/32 室外空气的

F24F110/40 压力，例如风压

F24F110/50 空气品质性状

F24F110/52 室外空气的

F24F110/60 气味

F24F110/62 烟草烟气

F24F110/64 空气中微粒含量

F24F110/65 特殊物质或污染物浓度

F24F110/66 挥发性有机化合物

F24F110/68 氡

F24F110/70 二氧化碳

F24F110/72 一氧化碳

F24F110/74 臭氧

F24F110/76 氧气

F24F110/80 电荷

