Title: 镜子（手镜、袖珍式的镜子或刮脸用的镜子入A45D42/00；做光学元件 的入G02B5/08）；画框或类似物

Code: A47G1/00

========================================

A47G1/02 做设备用的镜

A47G1/04 多面镜

A47G1/06 画框（纸制的入B31D）

A47G1/08 可调的

A47G1/10 画框的角夹或连接角的用具

A47G1/12 存放奖章、证章等物用的框架

A47G1/14 放照片的镜框

A47G1/16 悬挂或支撑图片、镜子等用的装置或类似物

A47G1/17 用黏合剂、吸力或磁力的

A47G1/18 悬挂图片的环或类似物

A47G1/20 挂图片的钩；X形钩（一般插头或吊钩入F16B13/00，F16B45/00）

A47G1/21 有夹持作用的（一般入F16B2/00）

A47G1/22 持钉板

A47G1/24 把图片、镜子等调节到适当位置的用具，尤指倾斜的位置

