Title: 用车辆外部电源的电力牵引（用于单轨车辆，悬置式车辆或齿轨铁路的入 B60L13/00；在车辆内与电池或燃料电池结合的入B60L 50/53）

Code: B60L9/00

========================================

B60L9/02 使用直流电动机的

B60L9/04 由直流电源线路供电的

B60L9/06 用微场扩流发电机变流的

B60L9/08 由交流电源线路供电的

B60L9/10 有旋转变流器的

B60L9/12 有静止式变流器的

B60L9/14 由不同种类电源线路供电的

B60L9/16 使用交流感应电动机的

B60L9/18 由直流电源线路供电的

B60L9/20 单相电动机

B60L9/22 多相电动机

B60L9/24 由交流电源线路供电的

B60L9/26 单相电动机

B60L9/28 多相电动机

B60L9/30 由不同种类电源线路供电的

B60L9/32 使用交流移刷型电动机的

