Title: 一般用于车辆的电力制动系统

Code: B60L7/00

========================================

B60L7/02 动态电阻制动（B60L7/22优先）

B60L7/04 用于直流电动机推进的车辆

B60L7/06 用于交流电动机推进的车辆

B60L7/08 制动效果的控制（B60L7/04，B60L7/06优先）

B60L7/10 动态电能量回收式制动（B60L7/22优先）

B60L7/12 用于直流电动机推进的车辆

B60L7/14 用于交流电动机推进的车辆

B60L7/16 用于电源与电动机之间具有变流器的车辆

B60L7/18 制动效果的控制（B60L7/12，B60L7/14，B60L7/16优先）

B60L7/20 通过向车辆原动机供给回收功率的制动，原动机则包括发动机驱动的发电机

B60L7/22 与动态电能量回收式制动联用的动态电阻制动

B60L7/24 有附加机械或电磁制动的

B60L7/26 制动效果的控制

B60L7/28 涡流制动

