Title: 不包含在F01L17/00至F01L29/00各组中的阀机构或阀装置，如具有往复式滑阀（工作过 程中的阀驱动装置或调节用的阀的外部装置，松开机构或阀的松开入F01L31/00）

Code: F01L15/00

========================================

F01L15/02 带有除圆筒形、套筒式或部分环形以外的阀，如平的D形阀

F01L15/04 和辅助阀组合在一起的主阀（制动阀式入F01L15/10）

F01L15/06 Meyer或Rider型，即在膨胀阀本身其膨胀是变化的

F01L15/08 带有圆筒形、套筒式或部分环形阀；这些主阀和辅助阀结合在一起

F01L15/10 带有主滑阀及其制动的辅助阀

F01L15/12 其特点为空载时在两个不同汽缸空间之间，使压力达到平衡的装置

F01L15/14 具有几个配合工作的主阀装置，如往复式和旋转式

F01L15/16 只具有往复式滑阀

F01L15/18 不包含在本组中的上述各小组内的阀装置

F01L15/20 不包含在本组中的上述各小组内的部件、零件或附件

