Title: 与内燃机燃料供给结合的布置；燃料箱的结构或安装

Code: B60K15/00

========================================

B60K15/01 燃料输送管的布置

B60K15/03 燃料箱

B60K15/035 以排出装置为特征的

B60K15/04 燃料箱入口（B60K15/077优先）

B60K15/05 入口盖

B60K15/06 以燃料储存系统为特征的

B60K15/063 燃料箱的布置

B60K15/067 燃料箱的安装

B60K15/07 燃气箱的安装

B60K15/073 专门适用于车辆的燃料箱的结构（B60K15/077优先）

B60K15/077 带有改进或控制燃料分配或流动的装置，例如防止噪声、波动、飞溅或燃料不足

B60K15/10 与燃气发生装置有关的

