Title: 专门适用于或安装于车上的动力装置控制机构的安全装置，例如，如果出现潜在危 险情况，能防止燃料供给或点火的装置（电动车辆上的电气安全装置入B60L3/00）

Code: B60K28/00

========================================

B60K28/02 响应有关驾驶员情况的

B60K28/04 响应驾驶员存在与否的，例如，响应其体重或没有重量的

B60K28/06 响应驾驶员司机的无行为能力的

B60K28/08 响应货物有关情况的，例如过载

B60K28/10 响应车辆有关情况的

B60K28/12 响应门或门锁有关情况的，例如，开门

B60K28/14 响应事故或紧急情况的，例如，减速，车辆倾斜

B60K28/16 响应车轮滑移、空转的或防止滑移、空转的

