Title: 冲洗设备的特殊构造（机动车或拖车内用的入B60R15/00；火车车箱内用的入 B61D35/00；船上用的入B63B29/14；飞机上用的入B64D11/02)

Code: E03D5/00

========================================

E03D5/01 使用冲洗泵

E03D5/02 用机械和水力操纵（E03D5/01，E03D5/12优先）

E03D5/04 直接由坐板或盖板操纵的

E03D5/06 直接由门操纵的

E03D5/08 直接用脚操纵的

E03D5/09 直接用手操纵的

E03D5/10 用电力操纵的（E03D5/01，E03D5/12优先）

E03D5/12 周期性排水的（周期性排水的高位水箱入E03D1/16）

