Title: 以形状为特征的肥料

Code: C05G5/00

========================================

C05G5/10 固体或半固体肥料，例如粉末（分层或涂层入C05G5/30；掺入基质入C05G5/40）

C05G5/12 颗粒或薄片

C05G5/14 片剂、尖状物、棒、块或球

C05G5/16 膜或片材；纤维网；纤维

C05G5/18 半固体肥料，例如泡沫或凝胶

C05G5/20 液体肥料（分层或涂层入C05G5/30；掺入基质入C05G5/40）

C05G5/23 溶液

C05G5/27 分散体，例如悬浮液或乳液

C05G5/30 分层或涂层的，例如防尘涂层

C05G5/35 胶囊，例如核-壳结构

C05G5/40 掺入基质的肥料

