Title: 用非正频率从一个独立信号源倍频或分频产生振荡

Code: H03B19/00

========================================

H03B19/03 采用非线性电感

H03B19/05 采用非线性电容，例如变容二极管

H03B19/06 应用有多于两个电极的电子管或半导体器件

H03B19/08 应用电子管

H03B19/10 只用倍频

H03B19/12 只用分频

H03B19/14 应用半导体器件

H03B19/16 采用非可控整流器件，例如整流二极管或肖特基二极管

H03B19/18 以及包含分布电感和电容的部件

H03B19/20 为具有电荷存储或增强效应的二极管

