Title: 带扣；连结带或类似物的扣件，如用于安全带的

Code: A44B11/00

========================================

A44B11/02 带的表面的摩擦结合

A44B11/04 没有可动部件

A44B11/06 带有夹紧装置

A44B11/08 在楔形槽中可置换的滚动物

A44B11/10 可滑动的楔

A44B11/12 可转动的夹具

A44B11/14 有揿紧作用

A44B11/16 由弹簧作用固定的带

A44B11/18 由穿入连带的环而固定的带

A44B11/20 由带上的孔或类似物结合的

A44B11/22 有固定尖针的带扣

A44B11/24 有可动尖针的带扣

A44B11/25 有两个或两个以上可分离的部件的

A44B11/26 用按扣扣紧的

A44B11/28 带上末端扣件与钩相连接的

