Title: 干洗或水洗纤维、长丝、纱、线、织物、羽毛或纤维制品

Code: D06L1/00

========================================

D06L1/01 仅使用固态或糊状试剂

D06L1/02 用有机溶剂

D06L1/04 ·和特定添加剂共用（D06L1/06优先）

D06L1/06 退浆

D06L1/08 多级法

D06L1/10 用过的化学溶液的再生

D06L1/12 用水浴法溶剂

D06L1/14 退浆

D06L1/16 多级法

D06L1/18 在压力密封容器内进行

D06L1/20 与机械装置结合

D06L1/22 水和有机试剂连续处理工艺

