Title: 肽的一般制备方法

Code: C07K1/00

========================================

C07K1/02 在溶液中

C07K1/04 在载体上

C07K1/06 使用保护基或活化剂

C07K1/08 用活化剂

C07K1/10 用偶联剂

C07K1/107 通过母体肽的化学修饰

C07K1/113 一级结构没有改变

C07K1/12 通过水解

C07K1/13 肽的标记

C07K1/14 提取；分离；纯化

C07K1/16 通过色谱法

C07K1/18 离子交换色谱

C07K1/20 分配色谱，反相色谱或疏水相互作用色谱

C07K1/22 亲合色谱或基于选择性吸附方法相关的技术

C07K1/24 通过电化学方法

C07K1/26 电泳法

C07K1/28 等电聚集

C07K1/30 通过沉淀作用

C07K1/32 作为复合物

C07K1/34 通过过滤，超滤或反渗透

C07K1/36 由不同类型的两种或多种方法的结合

