Title: 悬挂帘的装置

Code: A47H1/00

========================================

A47H1/02 帘架

A47H1/022 能伸缩的

A47H1/03 装在枢轴上与门或窗一起旋转的

A47H1/04 帘轨

A47H1/06 固定式的

A47H1/08 能伸缩的

A47H1/10 安装帘架或帘轨的装置

A47H1/102 安装帘架用的（A47H1/12，A47H1/14优先）

A47H1/104 安装帘轨用的（A47H1/12，A47H1/14优先）

A47H1/12 可调节的

A47H1/122 调节帘架用的

A47H1/124 调节帘轨用的

A47H1/13 卷轴式窗帘和拉起式窗帘的托架或可调装置

A47H1/14 支撑帘架或帘轨的托架

A47H1/142 支撑帘架用的

A47H1/144 支撑帘轨用的

A47H1/16 由金属线制作的帘架的支架

A47H1/18 其他挂帘装置，例如绳、金属丝

A47H1/19 安装金属丝、绳索等用的装置

