Title: 专门适用于切割干草、禾秆或类似物的切割设备（与收割作物的切碎 装置联合的割草机入A01D43/08）

Code: A01F29/00

========================================

A01F29/01 专门适用于安装在拖拉机上或由拖拉机牵引的，例如田间切碎收获机

A01F29/02 带有旋转刀，刀刃平面垂直于其旋转轴的

A01F29/04 其喂入方向横贯于轴的

A01F29/06 带有旋转刀，其刀刃安装于圆筒表面，例如螺旋式的

A01F29/08 带有作往复运动的刀

A01F29/09 零件

A01F29/10 喂入装置

A01F29/12 卸料装置（带有鼓风机的干草或类似大田作物装载机入A01D87/10）

A01F29/14 驱动装置

A01F29/16 安全装置，如紧急刹车装置

A01F29/18 用于保护人的

A01F29/22 磨刀装置的布置

