Title: 其他类目不包含的广告或显示装置

Code: G09F19/00

========================================

G09F19/02 配有可动显示构件的

G09F19/04 由门的开或关操作的，例如店门

G09F19/06 书写用具

G09F19/08 有可动部分的逼真的玩偶、面具或其他表示物

G09F19/10 演示广告产品作用的装置

G09F19/12 应用特殊的光学效果

G09F19/14 按观察者观察方向不同而显示不同的标记

G09F19/16 包括使用镜子

G09F19/18 包括光学投影装置的使用，例如投影在云上的像

G09F19/20 利用彩色的混合效应

G09F19/22 道路、墙或类似的表面上的广告或显示装置，例如照明的

