Title: 活动的目视广告（组合视听的广告入G09F27/00）

Code: G09F21/00

========================================

G09F21/02 利用人或动物为载体的

G09F21/04 利用陆上的交通工具

G09F21/06 利用飞机、飞船、气球或风筝

G09F21/08 安排在飞机上的广告

G09F21/10 被照明的

G09F21/12 由飞机拖引的广告

G09F21/14 被照明的

G09F21/16 空中写字的

G09F21/18 利用船只或其他浮动装置

G09F21/20 被照明的

G09F21/22 从车辆上散发小册子或类似的广告材料的装置（从飞机上分发的装置入B64D1/00）

