Title: 着墨装置

Code: B41J27/00

========================================

B41J27/02 由着墨毡片或旋转的墨盘来加墨

B41J27/04 着墨毡片或墨盘；及其供墨装置

B41J27/06 用来保证着墨毡片或墨盘的最大寿命的装置

B41J27/08 用于多色印刷的装置

B41J27/10 用墨辊加墨的；及其供墨装置

B41J27/12 墨辊

B41J27/14 用于多色印刷的装置

B41J27/16 用静电或电磁来附着油墨的，如墨粉

B41J27/18 带有涂覆的液态油墨的

B41J27/20 通过毛细作用供墨的，如穿过多孔性铅字，通过多孔性压印板

B41J27/22 带有墨盘或扇形墨台

