Title: 专门适用于连续式的复印件材料，如卷筒纸的支撑或传送的设备或装置

Code: B41J15/00

========================================

B41J15/02 卷筒纸轴或芯轴；把卷筒纸装到芯子或芯轴上的装置

B41J15/04 支撑、给纸或导纸装置；卷筒纸轴或芯轴的支架

B41J15/06 特点为用于具有固定式走纸架的印刷机上

B41J15/08 特点为用于具有横向走纸架的印刷机上

B41J15/10 并安装在走纸架上的

B41J15/12 并与走纸架连接的

B41J15/14 并与走纸架分开的

B41J15/16 用于拉紧或卷绕该卷筒纸的装置

B41J15/18 多个卷筒纸的给纸装置

B41J15/20 用于印刷时叠印的卷筒纸

B41J15/22 用于印刷时几个卷筒纸分头给纸

B41J15/24 带有用于卷筒纸彼此套准的装置

