Title: 使液体、气体或蒸汽强行透过纺织材料以得到处理效果，如洗涤、染色、漂白、上浆、 浸渍（丝光入D06B7/00；溶剂处理入D06B9/00；纺织品局部处理入D06B11/00；借助振 动入D06B13/00）

Code: D06B5/00

========================================

D06B5/02 透过移动的不定长纺织材料

D06B5/04 透过棉条和粗纱

D06B5/06 透过纱、线和长丝

D06B5/08 透过织物

D06B5/10 运用离心力

D06B5/12 透过一定长度的纺织材料

D06B5/14 透过纤维、棉条或粗纱

D06B5/16 透过纱、线和长丝

D06B5/18 透过轴经纱

D06B5/20 透过绞纱

D06B5/22 透过织物

D06B5/24 透过成品，如长袜

D06B5/26 运用离心力

