Title: 用于制造、安装、拆卸或维修白炽灯及其部件的设备或工艺

Code: H01K3/00

========================================

H01K3/02 发光体的制造

H01K3/04 制造用的机器

H01K3/06 将发光体安装到支架上

H01K3/08 支架或芯柱的制造

H01K3/10 制造用的机器

H01K3/12 支架或芯柱与管壳的联接；管壳部件的封接，如用对接封接

H01K3/14 所用的机器

H01K3/16 帽和管壳的联接

H01K3/18 所用的机器

H01K3/20 把导线直接封接入管壳

H01K3/22 管壳的排气、除气、充气及清洁

H01K3/24 所用的机器

H01K3/26 管壳的封闭

H01K3/28 有顺序排列工作位置的机器

H01K3/30 旧灯或不合格灯的修理或再生

H01K3/32 清洁、安装或拆除白炽灯的辅助设备

