Title: 在烹调或焙烤前使面团最终成型的其他机械

Code: A21C11/00

========================================

A21C11/02 凸花成型机

A21C11/04 有切割和凸花辊或滚筒的

A21C11/06 有规则地处理预先成型的面片的

A21C11/08 有刻模的，例如带有模辊的旋转机械

A21C11/10 与切割设备相结合的

A21C11/12 用作面块表面开槽、切开或穿孔的设备

A21C11/14 用作星形压印的

A21C11/16 挤出机

A21C11/18 有活塞的

A21C11/20 有螺杆的

A21C11/22 有辊和切割圆盘或刀片用于制作面条的设备

A21C11/24 用装有一搭接的沟槽辊对把片状或带状面片切成面条的设备

