Title: 照明装置组成部件，例如遮光装置、灯罩、折射器、反射器、滤光器、荧光屏或保护罩 的固定（光源的或光支架的入F21V19/00）

Code: F21V17/00

========================================

F21V17/02 带有调节装置（F21V17/04至F21V17/08优先）

F21V17/04 固定在光源上或用光源固定

F21V17/06 固定在灯架上或用灯架固定

F21V17/08 固定在照明装置的支撑或悬挂装置上，例如电源线、电线杆

F21V17/10 以专门的紧固器材或紧固方法为特征（F21V17/02至F21V17/08优先）

F21V17/12 通过螺纹连接

F21V17/14 销钉连接型紧固

F21V17/16 通过照明装置的部件的变形；瞬动安装

F21V17/18 闩锁型紧固，例如通过旋转作用

F21V17/20 借助于曲柄连杆作用

