Title: 光源的遮光装置

Code: F21V1/00

========================================

F21V1/02 构架

F21V1/04 刚性的（F21V1/08优先）

F21V1/06 可折叠或可收缩的

F21V1/08 可调节的

F21V1/10 转动的遮光装置

F21V1/12 组合式遮光装置

F21V1/14 构架罩；无构架遮光装置

F21V1/16 以材料为特点的

F21V1/17 材料包含光致发光物质

F21V1/18 材料是纸的

F21V1/20 材料是玻璃的

F21V1/22 材料是塑料的

F21V1/24 材料是金属的

F21V1/26 制造遮光装置

