Title: 光源的反射器(以冷却的布置为特征的入F21V29/505）

Code: F21V7/00

========================================

F21V7/04 光学设计

F21V7/05 平面的

F21V7/06 带有抛物线曲率的

F21V7/07 带有双曲线曲率的

F21V7/08 带有椭圆曲率的

F21V7/09 由不同曲率组合的

F21V7/10 结构

F21V7/16 带有曲率调节装置的

F21V7/18 带有折叠或收缩装置的

F21V7/22 以材料为特点的；以表面处理或涂层为特点的，例如分色反射镜

F21V7/24 以材料为特点的

F21V7/26 材料包含光致发光物质

F21V7/28 以涂层为特点的

F21V7/30 涂层包含光致发光物质

