Title: 在开关操作的初始和其触点的开或闭动作之间有一个延迟预定时间的装置（时间或时间 程序开关入H01H43/00）

Code: H01H7/00

========================================

H01H7/02 带有流体定时装置的

H01H7/03 带有阻尼延迟器的

H01H7/04 带有飞轮，即扇形调节器的

H01H7/06 带有热定时装置的

H01H7/08 机械速度控制装置定时的

H01H7/10 用擒纵机构的

H01H7/12 机械的

H01H7/14 电磁的

H01H7/16 保证在交流周期内的预定点开关动作的装置（电路装置入H01H9/56）

