Title: 翻转或摇杆开关，即开关的操纵以用操作按钮的形式来拨动操作部件为特征的附注 该组中，术语“拨动”定义为在平行于开关面板的一个轴平面中并且基本上位于摇杆按 钮的端部之间的中间的轴向运动。

Code: H01H23/00

========================================

H01H23/02 零部件

H01H23/04 外壳；盖

H01H23/06 防尘、防溅、防滴、防水或防火外壳

H01H23/08 底座；及安装在其上的静止触点

H01H23/10 用于内附熔断器

H01H23/12 可动部件；及安装在其上的触点

H01H23/14 转臂

H01H23/16 驱动机构

H01H23/18 组合有空转的

H01H23/20 快速动作的

H01H23/22 带预定延时装置的

H01H23/24 带有两个操作位置的

H01H23/26 其中有一个位置为不稳定的

H01H23/28 带有3个操作位置的

H01H23/30 带有稳定中心位置及其一端或两端位置为非稳定的

