Title: 非专用于特殊类型温度计的零部件（用于减小热惯性的电路入G01K7/42）

Code: G01K1/00

========================================

G01K1/02 特别适用于温度计的指示或记录装置

G01K1/022 用于记录

G01K1/024 用于远距离指示

G01K1/04 标度

G01K1/06 方便读数的装置，例如照明、放大镜

G01K1/08 保护装置，例如，外壳

G01K1/10 防止化学腐蚀的

G01K1/12 防止过热损坏的

G01K1/14 支撑；固定装置；在特殊位置安装温度计的布置

G01K1/143 用于测量表面温度

G01K1/16 用于从物体至传感元件传热的专门装置

G01K1/18 用于减少热惯性的

G01K1/20 补偿除被测温度外的其他温度变化产生的影响，例如，环境温度的变化

G01K1/22 利用空心容器中的流体所产生的压力使容器装有的部件可发生变形或位移

G01K1/24 应用复合的片或板，例如，双金属片

G01K1/26 补偿由于压力变化产生的影响

