Title: 专用于鞋的其他紧固物（一般外衣紧固物入A44B）

Code: A43C11/00

========================================

A43C11/02 纽扣紧固物

A43C11/04 钉钮；紧固钉纽

A43C11/06 揿扣紧固

A43C11/08 钩紧固物；旋转钩

A43C11/10 多舌钩

A43C11/12 滑动紧固物

A43C11/14 钳夹紧固；钳扣紧固；用肘节杆紧固

A43C11/16 用金属丝、螺栓或类似物紧固

A43C11/18 惰钳型紧固物

A43C11/20 安装在鞋舌上有绷紧装置的紧固物

A43C11/22 在一对鞋眼之间的弹性绷紧部件紧固装置，例如夹子、弹簧、带子

A43C11/24 有紧固作用的鞋用装饰扣或其他装饰品（一般扣环入A44B11/00）

