Title: 气垫车（陆地车辆，水面船只或飞机适合于或改建成在气垫上行驶的入B60V3/00）

Code: B60V1/00

========================================

B60V1/02 其中气垫至少由一个围边流体裙产生并保持的

B60V1/04 其中气垫至少部分由侧壁保持的

B60V1/06 其中气垫是在充气室内形成的

B60V1/08 其中气垫是在车向前运动时通过冲压效应产生的

B60V1/10 其中形成围裙的喷嘴或车辆底部被成型以产生涡流围裙的

B60V1/11 稳定性或状态控制

B60V1/12 通过分隔气垫

B60V1/14 驱动；及其控制（B60V1/11优先）

B60V1/15 利用气垫形成流体一部分的

B60V1/16 挠性裙

B60V1/18 车身结构

B60V1/20 喷射导流板

B60V1/22 装有水翼的

