Title: 炼焦炉的门或封闭物

Code: C10B25/00

========================================

C10B25/02 门；门框

C10B25/04 用于立式炭化室炼焦炉的

C10B25/06 用于卧式炭化室炼焦炉的

C10B25/08 门的开闭

C10B25/10 对立式炭化室炼焦炉的

C10B25/12 对卧式炭化室的炼焦炉的

C10B25/14 炉门提升装置

C10B25/16 密封；密封装置

C10B25/18 冷却

C10B25/20 装料孔的盖及封闭物

C10B25/22 用于立式炭化室炼焦炉

C10B25/24 用于卧式炭化室炼焦炉

