Title: 以可燃气体加热炼焦炉

Code: C10B21/00

========================================

C10B21/02 用贫煤气

C10B21/04 用富煤气

C10B21/06 在适用贫煤气或富煤气的炼焦炉中

C10B21/08 应用特殊的加热气体

C10B21/10 调节并控制燃烧

C10B21/12 燃烧器

C10B21/14 排烟换向装置

C10B21/16 通过控制或改变加热烟道及蓄热室烟道之间的开口

C10B21/18 烟道气的再循环

C10B21/20 箱式炼焦炉的加热方法

C10B21/22 在不同水平引入加热煤气与空气

C10B21/24 在立式加热烟道的顶部和底部

C10B21/26 只在立式烟道的顶部引入加热煤气与空气

