Title: 以热载体，包括待加工的固态物料的部分燃烧，直接加热使固态含碳物料干馏

Code: C10B49/00

========================================

C10B49/02 以热气体或蒸气，如用物料的部分燃烧所得的热气体

C10B49/04 在移动待处理的固态物料的情况下

C10B49/06 按“移动床”技术的

C10B49/08 按分散的形式

C10B49/10 按“流化床”技术的

C10B49/12 用切线方向混合的，如在旋涡式炉室中的

C10B49/14 以热液体，如熔融金属

C10B49/16 以分散的形式移动固体热载体

C10B49/18 按“移动床”技术的

C10B49/20 以分散的形式

C10B49/22 按“流化床”技术的

