Title: 电致发光光源

Code: H05B33/00

========================================

H05B33/02 零部件

H05B33/04 密封装置

H05B33/06 电极端接头

H05B33/10 专门适用于制造电致发光光源的设备或方法

H05B33/12 实质上有二维[2D]辐射表面的光源

H05B33/14 以电致发光材料的化学成分或物理组成或其配置为特征的

H05B33/18 以其激活剂的性质或浓度为特征的

H05B33/20 以嵌入电致发光材料的原料的化学成分或物理组成或其配置为特征的

H05B33/22 以辅助介电层或反射层的化学成分或物理组成或其配置为特征的

H05B33/24 金属反射层的（H05B33/26优先）

H05B33/26 以用作电极的导电材料的成分或配置为特征的

H05B33/28 半透明电极的

