Title: 非活动铅笔；铁笔；彩笔；粉笔（蜡染印花笔，粉绳画线装置入B44D3/00；铅笔的 笔芯成分、彩笔成分、粉笔成分入C09D13/00）

Code: B43K19/00

========================================

B43K19/02 铅笔；彩色铅笔

B43K19/04 金属笔芯铅笔

B43K19/06 笔芯是用使用时逐渐损耗材料制成的

B43K19/08 笔芯是用耐损耗材料制成的

B43K19/10 装有圆珠笔头的（用墨的入B43K1/08，B43K7/00）

B43K19/12 石笔

B43K19/14 护套

B43K19/16 非活动铅笔的制造（石笔笔芯的制造入B28D）

B43K19/18 铅笔笔芯的制造

