Title: 书写部件的选择、推出、缩回或锁定机构

Code: B43K24/00

========================================

B43K24/02 仅在完全推出或缩回位置上锁定单一书写部件的

B43K24/03 由轻按或倾斜操作的

B43K24/04 通过在纵向开槽的外壳中滑动的方法操作的

B43K24/06 通过旋转方法操作的

B43K24/08 通过按钮操作的

B43K24/10 用于选择、推出和锁定几个书写部件的

B43K24/12 通过在纵向开槽的外壳中滑动的方法操作的

B43K24/14 通过旋转方法操作的

B43K24/16 通过按钮操作的

B43K24/18 并用于进给笔芯的

