Title: 书写器具的夹持器或连接器；笔芯尖端的防护装置

Code: B43K23/00

========================================

B43K23/004 特别适合于残疾人书写的夹持器（B43L15/00优先）

B43K23/008 包括手指握牢的夹持器（B43K23/004、B43K23/012优先）

B43K23/012 附于指尖的夹持器（B43K23/004优先）

B43K23/016 蜡笔或粉笔夹持器（B43K23/004至B43K23/012、B43K23/02优先）

B43K23/02 具有防止转动的装置（B43K23/004至B43K23/012优先）

B43K23/04 能使书写器具直立

B43K23/06 连接两个或多个书写器具的装置

B43K23/08 保护装置，例如笔帽

B43K23/10 用于铅笔

B43K23/12 用于钢笔

