Title: 流化床炉；其他应用或处理细碎散料的炉

Code: F27B15/00

========================================

F27B15/02 零部件、附件或特别适用这类炉的装置

F27B15/04 外壳，其所用支架

F27B15/06 炉衬配置

F27B15/08 装料装置的配置

F27B15/09 卸料装置的配置

F27B15/10 空气或气体供给装置的配置

F27B15/12 集尘器的配置

F27B15/14 加热装置的配置

F27B15/16 冷却装置的配置

F27B15/18 控制装置的配置

F27B15/20 监测装置、指示装置、警报装置的配置

