Title: 井式炉或类似立式或基本立式的炉

Code: F27B1/00

========================================

F27B1/02 有两个或多个炉身或炉室的，例如多层的

F27B1/04 炉身的组合或布置

F27B1/06 上吹风式以外的

F27B1/08 不是用与炉料混合在一起的固体燃料来加热的

F27B1/09 电加热的

F27B1/10 零部件、附件或这类炉所特有装置

F27B1/12 外壳或罩；其所用支承

F27B1/14 炉衬配置

F27B1/16 风口配置

F27B1/18 集尘器配置

F27B1/20 装料装置的配置

F27B1/21 卸料装置的配置

F27B1/22 热交换设备的配置

F27B1/24 冷却装置

F27B1/26 控制装置的配置

F27B1/28 监测装置、指示装置、警报装置的配置

