Title: 坩埚炉或罐式炉；浴炉〔4〕

Code: F27B14/00

========================================

F27B14/02 带有倾斜或摇动装置的（F27B14/04优先）

F27B14/04 适宜用于在真空中或特殊气氛中处理炉料的

F27B14/06 带有或不带有其他热源的电加热的，例如感应坩埚炉（F27B14/04优先）

F27B14/08 特别适用于坩埚炉、罐式炉或浴炉的零部件

F27B14/10 坩埚的

F27B14/12 其所用盖子

F27B14/14 加热装置的配置

F27B14/16 装料装置的配置

F27B14/18 卸料装置的配置

F27B14/20 控制、监测、警报或类似装置的配置

