Title: 把印刷元件或印版安装到支承物上的装置

Code: B41L29/00

========================================

B41L29/02 磁性式

B41L29/04 用于把印刷的元件安装在平版台上

B41L29/06 用于把印刷的元件安装在印版滚筒中

B41L29/08 用于把印版安装在平版台上

B41L29/10 用于把不能变形的曲面印刷版安装在印版滚筒中

B41L29/12 用于安装挠性印刷印版

B41L29/14 夹紧装置

B41L29/16 在旋转机械印刷过程中可以自动地把印版安装在印版滚筒中

B41L29/18 电磁的、气动的或液压的

B41L29/20 用于调整印版滚筒的挠性印版前端在圆周上的位置的

B41L29/22 用于把印版安装在中间支架（如搭接元件）上

