Title: 办公或其他工商业用的复写、复制或印刷的设备或机械的滚筒

Code: B41L35/00

========================================

B41L35/02 印版滚筒

B41L35/04 对版装置

B41L35/06 带有换滚筒用的装置

B41L35/08 带有在印版滚筒上换印版的装置

B41L35/10 压印滚筒

B41L35/12 印版、胶印或过版用的轴承或支架，或压印滚筒

B41L35/14 印版或压印滚筒加热或冷却用的装置

B41L35/16 滚筒离压装置；滚筒压力的调整装置

B41L35/18 滚筒轴承，拨叉，或支架的排列或配置

B41L35/20 偏心轴承

B41L35/22 滑动轴承

B41L35/24 摆动轴承

B41L35/26 滚筒的抬起或调整装置

B41L35/28 凸轮、偏心轮、楔块或类似的零件

B41L35/30 用电或磁操作的

B41L35/32 用液压操作的

B41L35/34 护板或罩盖，如用于安全目的，用于防止异物进出的

